DD Field,Source Field,Field Description,Resource
WaterSource,"FeaturesInterior, Services, Water, WaterMeterYN, WaterSupplyType",A list of the source(s) of water for the property,Property
WaterfrontFeatures,"FeaturesAreaInfluences, Waterfront",Features of the waterfront on which the property is located.,Property
WaterfrontYN,"FeaturesAreaInfluences, Waterfront",The property is on the waterfront.,Property
WindowFeatures,FeaturesInterior,A list of features or description of the windows included in the sale/lease.,Property
YearBuilt,YearBuilt,"The year that an occupancy permit is first granted for the house or other local measure of initial habitability of the build. The type definition permits an empty value with an attribute noting that it is an unknown date or that the building is new construction. While constraints have not been applied, convention at the time of adoption has this as a four (4) digit year value.",Property
Zoning,Zoning,A division of the city or county into areas of different permissible land uses. This Zone field should be used for the short code that is commonly used.  For full textual descriptions please use the ZoningDescription field.,Property
FeedTypes,,,Property
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Member
Media,,"An object containing media information such as id, url and type.",Member
MemberAOR,"Board, MLS",The Member's Primary Board or Association of REALTORS.,Member
MemberAddress1,StreetAddress,"The street number, direction, name and suffix of the member.",Member
MemberCity,StreetCity,The city of the member.,Member
MemberCountry,"""CA""",The country abbreviation in a postal address.,Member
MemberDesignation,AgentDesignation,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by NAR and each affiliated group upon completion of required courses.,Member
MemberDirectPhone,DirectWorkPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberEmail,Email,The email address of the Member.,Member
MemberFax,FaxPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberFirstName,FirstName,The first name of the Member.,Member
MemberFullName,FullName,The full name of the Member. (First Middle Last) or a alternate full name.,Member
MemberKey,Matrix_Unique_ID,"A unique identifier for this record from the immediate source. This is a string that can include URI or other forms.  Alternatively use the MemberKeyNumeric for a numeric only key field.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemMemberKey and OriginatingSystemMemberKey.",Member
MemberLastName,LastName,The last name of the Member.,Member
MemberMiddleName,MiddleName,The middle name of the Member.,Member
MemberMlsId,MLSID,"The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Member
MemberMobilePhone,CellPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberNationalAssociationId,CREAID,The national association ID of the member.  i.e. in the U.S. is the NRDS number.,Member
MemberOfficePhone,DirectWorkPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberPostalCode,StreetPostalCode,The postal code of the member.,Member
MemberPostalCodePlus4,,The extension of the postal/zip code.  i.e. +4,Member
MemberPreferredPhone,DirectWorkPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberStateOrProvince,StreetStateOrProvince,The state or province in which the member is addressed.,Member
MemberType,AgentType,"The type of member.  i.e. Agent, Broker, Office Manager, Appraiser, Photographer, Assistants, MLO, Realtor, Association Staff, MLS Staff, etc.",Member
ModificationTimestamp,MatrixModifiedDT,Date/time the roster (member or office) record was last modified.,Member
OfficeKey,Office_MUI,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set. This is a foreign key relating to the Office resource's OfficeKey.",Member
OfficeMlsId,OfficeMLSID,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Member
OriginatingSystemID,,"The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the member was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.",Member
OriginatingSystemMemberKey,,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the member was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.",Member
OriginatingSystemName,"""REALTORS® Association of Hamilton-Burlington""",The name of the Originating record provider.  Most commonly the name of the MLS. The place where the member is originally input by the member.  The legal name of the company.,Member
RAHB_Accreditations,Agent: Accreditations,Accreditations,Member
RAHB_CMLS,Agent: CMLS,CMLS,Member
RAHB_GenerationalName,Agent: GenerationalName,Generational Name,Member
RAHB_IsDeleted,Agent: IsDeleted,Is Deleted,Member
RAHB_LastHumanModificationTimestamp,Agent: LastHumanModificationTimestamp,Last Human Modification Timestam,Member
RAHB_MailAddress,Agent: MailAddress,Mail Address,Member
RAHB_MailCity,Agent: MailCity,Mail City,Member
RAHB_MailPostalCode,Agent: MailPostalCode,Mail Postal Code,Member
RAHB_MailPostalCodePlus4,Agent: MailPostalCodePlus4,Mail Postal Code Plus 4,Member
RAHB_MailStateOrProvince,Agent: MailStateOrProvince,Mail State Or Province,Member
RAHB_MembershipDate,Agent: MembershipDate,Membership Date,Member
RAHB_OtherPhone,Agent: OtherPhone,Other Phone,Member
RAHB_PhotoCount,Agent: PhotoCount,Photo Count,Member
RAHB_PhotoModificationTimestamp,Agent: PhotoModificationTimestamp,Photo Modification Timestamp,Member
RAHB_RUC,Agent: RUC,RUC,Member
RAHB_TerminationDate,Agent: TerminationDate,Termination Date,Member
SocialMediaFacebookUrlOrId,WebFacebook,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Member
SocialMediaLinkedInUrlOrId,WebLinkedIn,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Member
SocialMediaTwitterUrlOrId,WebTwitter,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Member
SocialMediaWebsiteUrlOrId,WebPageAddress,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Member
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Office
MainOfficeKey,HeadOffice_MUI,OfficeKey of the Main Office in a firm/company of offices.  This is a self referencing foreign key relating to this resource's OfficeKey.  This key may be the same value as the OfficeKey for a given record if the given office is the Main Office.,Office
MainOfficeMlsId,HeadOfficeMLSID,OfficeMlsId of the Main Office in a firm/company of offices.,Office
Media,,"An object containing media information such as id, url and type.",Office
ModificationTimestamp,MatrixModifiedDT,Date/time the roster (member or office) record was last modified.,Office
OfficeAOR,Board,The Office's Board or Association of REALTORS.,Office
OfficeAddress1,StreetAddress,"The street number, direction, name and suffix of the office.",Office
OfficeBrokerKey,OfficeContact_MUI,The MemberKey of the responsible/owning broker.  This is a foreign key relating to the Member resource's MemberKey.,Office
OfficeBrokerMlsId,BrokerOfRecordMLSID,The MemberMlsId of the responsible/owning broker.,Office
OfficeCity,StreetCity,The city of the office.,Office
OfficeEmail,Email,The email address of the office,Office
OfficeFax,FaxPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Office
OfficeKey,Matrix_Unique_ID,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.",Office
OfficeMlsId,MLSID,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Office
OfficeName,OfficeName,The legal name of the brokerage.,Office
OfficePhone,Phone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Office
OfficePostalCode,StreetPostalCode,The postal code of the office.,Office
OfficePostalCodePlus4,StreetPostalCodePlus4,The extension of the postal/zip code.  i.e. +4,Office
OfficeStateOrProvince,StreetStateOrProvince,The state or province in which the office is located.,Office
OfficeStatus,OfficeStatus,"Is the office active, inactive or under disciplinary action.",Office
OfficeType,OfficeType,"The type of business conducted by the office.  i.e. Real Estate, Appraiser, etc.",Office
OriginatingSystemID,,"The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the office was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.",Office
OriginatingSystemName,"""REALTORS® Association of Hamilton-Burlington""",The name of the Originating record provider.  Most commonly the name of the MLS. The place where the office is originally input by the member.  The legal name of the company.,Office
OriginatingSystemOfficeKey,,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the office was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.",Office
SocialMediaFacebookUrlOrId,WebFacebook,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Office
SocialMediaLinkedInUrlOrId,WebLinkedIn,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Office
SocialMediaTwitterUrlOrId,WebTwitter,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Office
SocialMediaWebsiteUrlOrId,WebPageAddress,"The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.",Office
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Openhouse
ListingId,Listing_MUI,"The well known identifier for the listing related to this Open House. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",Openhouse
ListingKey,matrix_unique_id,"A unique identifier for the listing record related to this Open House. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.   This may be a foreign key from the resource selected in the ResourceName field.",Openhouse
ModificationTimestamp,MatrixModifiedDT,The transactional timestamp automatically recorded by the MLS system representing the date/time the Open House was last modified.,Openhouse
OpenHouseDate,OpenHouseDate,The date on which the open house will occur.,Openhouse
OpenHouseEndTime,"EndTime, OpenHouseDate",The time the open house ends.,Openhouse
OpenHouseKey,matrix_unique_id,"A unique identifier for this record from the immediate source. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.",Openhouse
OpenHouseMethod,OpenHouseType,"Method for the open house, whether in-person or virtual",Openhouse
OpenHouseRemarks,Description,"Comments, instructions or information about the open house.",Openhouse
OpenHouseStartTime,"OpenHouseDate, StartTime",The time the open house begins.,Openhouse
OpenHouseStatus,ActiveYN,"Status of the open house, i.e. Active, Cancelled, Ended.",Openhouse
OpenHouseType,OpenHouseType,"The type of open house.  i.e. Public, Broker, Office, Association, Private (invitation or targeted publication).",Openhouse
OriginatingSystemID,,"The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the Open House was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.",Openhouse
OriginatingSystemKey,,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the Open House was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.",Openhouse
OriginatingSystemName,"""REALTORS® Association of Hamilton-Burlington""",The name of the Originating record provider.  Most commonly the name of the MLS. The place where the Open House is originally input.  The legal name of the company.,Openhouse
Refreshments,Refreshments,A description of the refreshments that will be served at the open house.,Openhouse
VirtualOpenHouseURL,VirtualOpenHouseURL,"URL that links to virtual tours, video tours, 3D tours, etc",Openhouse
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Propertyrooms
ListingId,Listing_MUI,"This is the foreign ID relating to the Property Resource. The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",Propertyrooms
ListingKey,Listing_MUI,"This is the foreign key relating to the Property Resource.  A unique identifier for this record from the immediate source. This is a string that can include URI or other forms.  Alternatively use the ListingKeyNumeric for a numeric only key field.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Propertyrooms
ModificationTimestamp,MatrixModifiedDT,Date/time this record was last modified.,Propertyrooms
OriginatingSystemID,,"The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the listing was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.",Propertyrooms
OriginatingSystemKey,,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the listing was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.",Propertyrooms
OriginatingSystemName,,The name of the Originating record provider.  Most commonly the name of the MLS. The place where the listing is originally input by the member.  The legal name of the company.,Propertyrooms
RoomArea,"LengthFeet, LengthInches, WidthFeet, WidthInches",The area of the room being described.  Use the RoomAreaUnits field to describe the unit of measurement for the value in this field.,Propertyrooms
RoomAreaUnits,"""Square Feet""","The unit of measurement used for the value in the RoomArea field.  e.g. square feet, square meters, etc.",Propertyrooms
RoomDimensions,Dimensions,A textual description of the dimensions of the given room.,Propertyrooms
RoomFeatures,RoomFeatures,A list of features present in the given room.,Propertyrooms
RoomKey,matrix_unique_id,A unique identifier for this record. This is a string that can include URI or other forms.  Alternatively use the '...KeyNumeric' for a numeric only key field.  This is the local key of the system.,Propertyrooms
RoomLength,"LengthFeet, LengthInches",A numeric representation of the length of the given room.  See the RoomLengthWidthUnits for the unit of measurement used for the length and width.,Propertyrooms
RoomLengthWidthUnits,"""Feet""","The unit of measurement used for the value in the RoomLength and the RoomWidth fields.  e.g. feet, meters, etc.",Propertyrooms
RoomLevel,RoomLevel,The level within the dwelling on which the given room is located.,Propertyrooms
RoomType,RoomType,The type of room being described by the other fields in the PropertyRooms resource.,Propertyrooms
RoomWidth,"WidthFeet, WidthInches",A numeric representation of the width of the given room.  See the RoomLengthWidthUnits for the unit of measurement used for the length and width.,Propertyrooms
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Propertyunittypes
ListingId,Listing_MUI,"This is the foreign ID relating to the Property Resource. The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",Propertyunittypes
ListingKey,Listing_MUI,"This is the foreign key relating to the Property Resource. A unique identifier for this record from the immediate source. This is a string that can include URI or other forms. Alternatively use the ListingKeyNumeric for a numeric only key field. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Propertyunittypes
ModificationTimestamp,MatrixModifiedDT,Date/time this record was last modified.,Propertyunittypes
OriginatingUnitTypeKey,,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the office was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.",Propertyunittypes
UnitTypeBathsTotal,"UnitBathsFull, UnitBathsHalf",The total number of baths for a given type of unit.,Propertyunittypes
UnitTypeBedsTotal,NumberBedrooms,The total number of bedrooms for a given type of unit.,Propertyunittypes
UnitTypeKey,matrix_unique_id,"A unique identifier for this record. This is a string that can include URI or other forms. Alternatively use the ""...KeyNumeric"" for a numeric only key field. This is the local key of the system.",Propertyunittypes